departement_code,id,bss_code,name,critical-water-level,drought-decrees-sou,drought-decrees-sup,dryness-agricultural,dryness-groundwater,dryness-groundwater-deep,dryness-meteo,dryness-resources,dryness-small-stream,dryness-stream-flow,heatwave-agricultural,heatwave-meteo,heatwave-resources,quality
1,8168,06775X0010/BOURSI,Forage - Voie ferree (Boursin - BRGM 01),0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,8418,06991X0220/PZ,Balan - 06991X0220/PZ,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,2574,07004X0046/D6-20,Piezometre - Marais de Lavours (Ceyzerieu - BRGM 01),0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,7576,06993X0226/MEXI_2,Piezometre - Bord autoroute (Meximieux - BRGM 01),0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,1214,06256X0188/PZ,Replonges - 06256X0188/PZ,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2355,06754X0077/F1,PIEZOMETRE - GRAVIERE (ST-JEAN-LE-VIEUX - BRGM 01),0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,8459,06503X0028/PZ,Saint-Jean-sur-Veyle - 06503X0028/PZ,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,636,06261X0007/PZ,Saint-Julien-sur-Reyssouze - 06261X0007/PZ,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2366,06757X0071/PZ,Saint-Maurice-de-Rémens - 06757X0071/PZ,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,2047,06512X0037/STREMY,Saint-Rémy - 06512X0037/STREMY,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,2358,06993X0087/F6,Piezometre - Station essence (St-Vulbas - BRGM 01),0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,1422,06518X0026/P2,Forage - Enclos (Tossiat - BRGM 01),0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,2048,06744X0025/PZ,Villars-les-Dombes - 06744X0025/PZ,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,2045,06742X0001/VILLEN,Forage - Geothermie (Villeneuve - BRGM 01),0,1,0,0,1,0,0,0,0,0,0,0,0,0
2,1314,01066X0133/S1,PIEZOMETRE DE ACY - 02,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,1248,01074X0006/S1,PIEZOMETRE DE AMIFONTAINE - 02,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,7521,01306X0023/S1,PIEZOMETRE DE ARMENTIERES-SUR-OURCQ - 02,0,0,0,0,1,0,0,0,0,0,0,0,0,0
