departement_code,id,bss_code,name,critical-water-level,drought-decrees-sou,drought-decrees-sup,dryness-agricultural,dryness-groundwater,dryness-groundwater-deep,dryness-meteo,dryness-resources,dryness-small-stream,dryness-stream-flow,heatwave-agricultural,heatwave-meteo,heatwave-resources,quality
1,2287,06288X0096/SB,Piezometre - Centre equestre (Gex - BRGM 01),0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2285,06533X0070/F2,Piezometre - Greny (Peron - BRGM 01),0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,1366,00663X0124/F_2008,PIEZOMETRE DE ROUGERIES - 02,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,8335,07326X0028/S,Baignes-Sainte-Radegonde - 07326X0028/S,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,8091,07333X0027/F,JUILLAGU,0,0,0,0,1,1,0,0,0,0,0,0,0,0
16,8337,07322X0058/S,Criteuil-la-Magdeleine - 07322X0058/S,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,777,07332X0530/F2,ROUFFIAC,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,843,07077X0016/16,Avy - 07077X0016/16,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,8197,07077X0030/PIEZO,LA ROCHE PIÉZO,0,0,0,0,1,1,0,0,0,0,0,0,0,0
17,8316,07077X0023/S,Biron - 07077X0023/S,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,8103,06838X0077/F,COMBE DES GDES BAUCHES PIÉZO,0,0,0,0,1,1,0,0,0,0,0,0,0,0
17,2566,07325X0018/F,Champagnac - 07325X0018/F,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,8119,07073X0038/F,LE MAINE CADET PIÉZO,0,0,0,0,1,1,0,0,0,0,0,0,0,0
17,2551,07303X0523/F,Grattechat,0,0,0,0,1,1,0,0,0,0,0,0,0,0
17,858,07072X0065/F,La Jard - 07072X0065/F,0,0,0,0,1,1,0,0,0,0,0,0,0,0
17,2552,07325X0044/F,La Métairie de Puyrigaud,0,0,0,0,1,1,0,0,0,0,0,0,0,0
17,819,07316X0027/F,Fontbouillant - le joyau (mirambeau - 17),0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,803,07554X0504/F,Chez Grégoire F,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,876,07314X0011/S,Neuillac - 07314X0011/S,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,827,07561X0006/S,Pommiers-Moulons - 07561X0006/S,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,874,06831X0059/F,Port-d'Envaux - 06831X0059/F,0,0,0,0,1,1,0,0,0,0,0,0,0,0
17,853,06835X0044/F,Saint-Georges-des-Coteaux - 06835X0044/F,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,2557,07076X0038/F,Le Rivaud,0,0,0,0,1,1,0,0,0,0,0,0,0,0
17,797,07321X0092/F,Font de Cluzac,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,821,07566X0028/F,COUSTOLLE,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,823,07562X0019/F,Le Moulin des Auberts,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,2546,07312X0150/F,Pradelle F2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
17,830,07318X0031/PUITS,Saint-Simon-de-Bordes - 07318X0031/PUITS,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,8124,07061X0088/F,LA GRANDE PIÈCE PIÉZO,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,2563,06835X0051/F,Saintes - 06835X0051/F,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,2564,07553X0504/F,Le Tailledis F1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
17,8319,07074X0014/S,Salignac-sur-Charente - 07074X0014/S,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,826,07061X0075/S,Vaux-sur-Mer - 07061X0075/S,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,1006,04926X0001/FAEP,Allogny - 04926X0001/FAEP,0,0,1,0,0,1,0,0,0,0,0,0,0,0
18,1010,04628X0003/FAEP,Chapelle-d'Angillon - 04628X0003/FAEP,0,0,1,0,0,1,0,0,0,0,0,0,0,0
18,1674,05726X0003/F,CHAMP DE L'ETANG CHATELET - 18,0,0,1,0,0,1,0,0,0,0,0,0,0,0
18,1603,04316X0061/F,CLEMONT - STATION A E P CLEMONT - 18,0,0,1,0,0,1,0,0,0,0,0,0,0,0
18,1306,04915X0009/F1AEP1,LES SCEPS  N1 GENOUILLY - 18,0,0,1,0,1,1,0,0,0,0,0,0,0,0
18,1005,04931X0001/FAEP,Henrichemont - 04931X0001/FAEP,0,0,1,0,0,1,0,0,0,0,0,0,0,0
18,995,04625X0073/F,LE HAUT BOULAY NANCAY - 18,0,0,1,0,0,1,0,0,0,0,0,0,0,0
