departement_code,id,bss_code,name,critical-water-level,drought-decrees-sou,drought-decrees-sup,dryness-agricultural,dryness-groundwater,dryness-groundwater-deep,dryness-meteo,dryness-resources,dryness-small-stream,dryness-stream-flow,heatwave-agricultural,heatwave-meteo,heatwave-resources,quality
1,3046,,WS 3046,0,0,0,1,0,0,1,1,0,0,1,1,1,0
1,3043,,WS 3043,0,0,0,1,0,0,1,1,0,0,1,1,1,0
1,3081,,WS 3081,0,0,0,1,0,0,1,1,0,0,1,1,1,0
1,3014,,WS 3014,0,0,0,1,0,0,1,1,0,0,1,1,1,0
1,3047,,WS 3047,0,0,0,1,0,0,1,1,0,0,1,1,1,0
1,3080,,WS 3080,0,0,0,1,0,0,1,1,0,0,1,1,1,0
1,3044,,WS 3044,0,0,0,1,0,0,1,1,0,0,1,1,1,0
1,3015,,WS 3015,0,0,0,1,0,0,1,1,0,0,1,1,1,0
1,3078,,WS 3078,0,0,0,1,0,0,1,1,0,0,1,1,1,0
1,3082,,WS 3082,0,0,0,1,0,0,1,1,0,0,1,1,1,0
1,3112,,WS 3112,0,0,0,1,0,0,1,1,0,0,1,1,1,0
1,3045,,WS 3045,0,0,0,1,0,0,1,1,0,0,1,1,1,0
1,3079,,WS 3079,0,0,0,1,0,0,1,1,0,0,1,1,1,0
2,3551,,WS 3551,0,0,0,1,0,0,1,1,0,0,1,1,1,0
2,3623,,WS 3623,0,0,0,1,0,0,1,1,0,0,1,1,1,0
2,3607,,WS 3607,0,0,0,1,0,0,1,1,0,0,1,1,1,0
2,3512,,WS 3512,0,0,0,1,0,0,1,1,0,0,1,1,1,0
2,3624,,WS 3624,0,0,0,1,0,0,1,1,0,0,1,1,1,0
2,3622,,WS 3622,0,0,0,1,0,0,1,1,0,0,1,1,1,0
2,3582,,WS 3582,0,0,0,1,0,0,1,1,0,0,1,1,1,0
2,3550,,WS 3550,0,0,0,1,0,0,1,1,0,0,1,1,1,0
2,3587,,WS 3587,0,0,0,1,0,0,1,1,0,0,1,1,1,0
2,3609,,WS 3609,0,0,0,1,0,0,1,1,0,0,1,1,1,0
2,3583,,WS 3583,0,0,0,1,0,0,1,1,0,0,1,1,1,0
2,3584,,WS 3584,0,0,0,1,0,0,1,1,0,0,1,1,1,0
2,3608,,WS 3608,0,0,0,1,0,0,1,1,0,0,1,1,1,0
2,3610,,WS 3610,0,0,0,1,0,0,1,1,0,0,1,1,1,0
2,3511,,WS 3511,0,0,0,1,0,0,1,1,0,0,1,1,1,0
3,3068,,WS 3068,0,0,0,1,0,0,1,1,0,0,1,1,1,0
3,3066,,WS 3066,0,0,0,1,0,0,1,1,0,0,1,1,1,0
3,3098,,WS 3098,0,0,0,1,0,0,1,1,0,0,1,1,1,0
3,3064,,WS 3064,0,0,0,1,0,0,1,1,0,0,1,1,1,0
3,3099,,WS 3099,0,0,0,1,0,0,1,1,0,0,1,1,1,0
3,3095,,WS 3095,0,0,0,1,0,0,1,1,0,0,1,1,1,0
3,3065,,WS 3065,0,0,0,1,0,0,1,1,0,0,1,1,1,0
3,3096,,WS 3096,0,0,0,1,0,0,1,1,0,0,1,1,1,0
3,3035,,WS 3035,0,0,0,1,0,0,1,1,0,0,1,1,1,0
3,3129,,WS 3129,0,0,0,1,0,0,1,1,0,0,1,1,1,0
3,3067,,WS 3067,0,0,0,1,0,0,1,1,0,0,1,1,1,0
3,3097,,WS 3097,0,0,0,1,0,0,1,1,0,0,1,1,1,0
3,3100,,WS 3100,0,0,0,1,0,0,1,1,0,0,1,1,1,0
3,3063,,WS 3063,0,0,0,1,0,0,1,1,0,0,1,1,1,0
4,2750,,WS 2750,0,0,0,1,0,0,1,1,0,0,1,1,1,0
4,2786,,WS 2786,0,0,0,1,0,0,1,1,0,0,1,1,1,0
4,2788,,WS 2788,0,0,0,1,0,0,1,1,0,0,1,1,1,0
4,2856,,WS 2856,0,0,0,1,0,0,1,1,0,0,1,1,1,0
4,2820,,WS 2820,0,0,0,1,0,0,1,1,0,0,1,1,1,0
4,2787,,WS 2787,0,0,0,1,0,0,1,1,0,0,1,1,1,0
4,2821,,WS 2821,0,0,0,1,0,0,1,1,0,0,1,1,1,0
4,2822,,WS 2822,0,0,0,1,0,0,1,1,0,0,1,1,1,0
4,2749,,WS 2749,0,0,0,1,0,0,1,1,0,0,1,1,1,0
4,2785,,WS 2785,0,0,0,1,0,0,1,1,0,0,1,1,1,0
4,2784,,WS 2784,0,0,0,1,0,0,1,1,0,0,1,1,1,0
5,2889,,WS 2889,0,0,0,1,0,0,1,1,0,0,1,1,1,0
5,2888,,WS 2888,0,0,0,1,0,0,1,1,0,0,1,1,1,0
5,2852,,WS 2852,0,0,0,1,0,0,1,1,0,0,1,1,1,0
5,2855,,WS 2855,0,0,0,1,0,0,1,1,0,0,1,1,1,0
5,2886,,WS 2886,0,0,0,1,0,0,1,1,0,0,1,1,1,0
5,2854,,WS 2854,0,0,0,1,0,0,1,1,0,0,1,1,1,0
5,2887,,WS 2887,0,0,0,1,0,0,1,1,0,0,1,1,1,0
5,2885,,WS 2885,0,0,0,1,0,0,1,1,0,0,1,1,1,0
5,2919,,WS 2919,0,0,0,1,0,0,1,1,0,0,1,1,1,0
5,2920,,WS 2920,0,0,0,1,0,0,1,1,0,0,1,1,1,0
5,2921,,WS 2921,0,0,0,1,0,0,1,1,0,0,1,1,1,0
5,2853,,WS 2853,0,0,0,1,0,0,1,1,0,0,1,1,1,0
5,2819,,WS 2819,0,0,0,1,0,0,1,1,0,0,1,1,1,0
6,2754,,WS 2754,0,0,0,1,0,0,1,1,0,0,1,1,1,0
6,2823,,WS 2823,0,0,0,1,0,0,1,1,0,0,1,1,1,0
6,2753,,WS 2753,0,0,0,1,0,0,1,1,0,0,1,1,1,0
6,2755,,WS 2755,0,0,0,1,0,0,1,1,0,0,1,1,1,0
6,2790,,WS 2790,0,0,0,1,0,0,1,1,0,0,1,1,1,0
6,2789,,WS 2789,0,0,0,1,0,0,1,1,0,0,1,1,1,0
6,2791,,WS 2791,0,0,0,1,0,0,1,1,0,0,1,1,1,0
7,2847,,WS 2847,0,0,0,1,0,0,1,1,0,0,1,1,1,0
7,2877,,WS 2877,0,0,0,1,0,0,1,1,0,0,1,1,1,0
7,2878,,WS 2878,0,0,0,1,0,0,1,1,0,0,1,1,1,0
7,2913,,WS 2913,0,0,0,1,0,0,1,1,0,0,1,1,1,0
7,2880,,WS 2880,0,0,0,1,0,0,1,1,0,0,1,1,1,0
7,2845,,WS 2845,0,0,0,1,0,0,1,1,0,0,1,1,1,0
7,2879,,WS 2879,0,0,0,1,0,0,1,1,0,0,1,1,1,0
7,2846,,WS 2846,0,0,0,1,0,0,1,1,0,0,1,1,1,0
7,2945,,WS 2945,0,0,0,1,0,0,1,1,0,0,1,1,1,0
7,2912,,WS 2912,0,0,0,1,0,0,1,1,0,0,1,1,1,0
8,3591,,WS 3591,0,0,0,1,0,0,1,1,0,0,1,1,1,0
8,3590,,WS 3590,0,0,0,1,0,0,1,1,0,0,1,1,1,0
8,3611,,WS 3611,0,0,0,1,0,0,1,1,0,0,1,1,1,0
8,3614,,WS 3614,0,0,0,1,0,0,1,1,0,0,1,1,1,0
8,3612,,WS 3612,0,0,0,1,0,0,1,1,0,0,1,1,1,0
8,3562,,WS 3562,0,0,0,1,0,0,1,1,0,0,1,1,1,0
8,3589,,WS 3589,0,0,0,1,0,0,1,1,0,0,1,1,1,0
8,3613,,WS 3613,0,0,0,1,0,0,1,1,0,0,1,1,1,0
8,3588,,WS 3588,0,0,0,1,0,0,1,1,0,0,1,1,1,0
