,date,value
0,1999-08-05,43.3
1,2000-05-16,43.5
2,2001-04-05,43.72
3,2001-10-10,43.46
4,2003-12-15,42.92
5,2003-12-16,42.92
6,2003-12-17,42.93
7,2003-12-18,42.93
8,2003-12-19,42.93
9,2003-12-20,42.93
10,2003-12-21,42.93
11,2003-12-22,42.92
12,2003-12-23,42.93
13,2003-12-24,42.93
14,2003-12-25,42.94
15,2003-12-26,42.94
16,2003-12-27,42.94
17,2003-12-28,42.93
18,2003-12-29,42.95
19,2003-12-30,42.93
20,2003-12-31,42.93
21,2004-01-01,42.95
22,2004-01-02,42.94
23,2004-01-03,42.93
24,2004-01-04,42.94
25,2004-01-05,42.94
26,2004-01-06,42.94
27,2004-01-07,42.94
28,2004-01-08,42.95
29,2004-01-12,43.02
30,2004-01-13,43.11
31,2004-01-14,42.95
32,2004-01-15,42.96
33,2004-01-16,43.02
34,2004-01-18,43.01
35,2004-01-19,42.97
36,2004-01-20,43.02
37,2004-01-21,43.1
38,2004-01-22,43.13
39,2004-01-23,43.17
40,2004-01-24,43.2
41,2004-01-25,43.22
42,2004-01-26,43.33
43,2004-01-27,43.13
44,2004-01-28,43.14
45,2004-01-29,43.28
46,2004-01-30,43.15
47,2004-01-31,43.19
48,2004-02-01,43.23
49,2004-02-02,43.17
50,2004-02-03,43.03
51,2004-02-04,43.04
52,2004-02-05,43.04
53,2004-02-06,43.05
54,2004-02-07,43.04
55,2004-02-08,43.06
56,2004-02-09,43.06
57,2004-02-10,43.07
58,2004-02-11,43.07
59,2004-02-12,43.07
60,2004-02-13,43.08
61,2004-02-14,43.08
62,2004-02-15,43.08
63,2004-02-16,43.08
64,2004-02-17,43.08
65,2004-02-18,43.1
66,2004-02-19,43.11
67,2004-02-20,43.11
68,2004-02-21,43.11
69,2004-02-22,43.09
70,2004-02-23,43.09
71,2004-02-24,43.05
72,2004-02-28,42.92
73,2004-03-01,42.91
74,2004-03-03,42.93
75,2004-03-05,42.94
76,2004-03-07,43.01
77,2004-03-09,42.93
78,2004-03-11,42.94
79,2004-03-17,42.95
80,2004-03-19,42.95
81,2004-03-21,42.97
82,2004-03-23,42.97
83,2004-03-25,42.96
84,2004-03-30,42.96
85,2004-04-20,42.98
86,2004-04-25,43.01
87,2004-04-27,43.02
88,2004-05-01,43.02
89,2004-05-03,43.04
90,2004-05-04,43.02
91,2004-05-10,43.06
92,2004-05-12,43.06
93,2004-05-14,43.06
94,2004-05-16,43.08
95,2004-05-18,43.08
96,2004-05-20,43.1
97,2004-05-22,43.1
98,2004-05-24,43.1
99,2004-05-26,43.08
100,2004-05-28,43.1
101,2004-05-30,43.11
102,2004-06-01,43.12
103,2004-06-03,43.09
104,2004-06-04,43.12
105,2004-06-06,43.13
106,2004-06-08,43.13
107,2004-06-10,43.14
108,2004-06-12,43.14
109,2004-06-14,43.15
110,2004-06-16,43.16
111,2004-06-18,43.16
112,2004-06-20,43.16
113,2004-06-22,43.16
114,2004-06-24,43.16
115,2004-06-26,43.07
116,2004-06-28,43.04
117,2004-06-30,42.99
118,2004-07-02,42.97
119,2004-07-04,42.94
120,2004-07-06,42.91
121,2004-07-07,42.99
122,2004-07-09,43.01
123,2004-07-11,42.92
124,2004-07-13,42.92
125,2004-07-15,42.89
126,2004-07-17,42.87
127,2004-07-19,42.87
128,2004-07-21,42.94
129,2004-07-23,42.99
130,2004-07-25,43.02
131,2004-07-27,42.99
132,2004-07-29,42.94
133,2004-07-31,42.88
134,2004-08-02,42.88
135,2004-08-03,42.84
136,2004-08-04,42.85
137,2004-08-06,42.87
138,2004-08-08,42.87
139,2004-08-10,42.96
140,2004-08-12,43.0
141,2004-08-14,43.01
142,2004-08-16,43.03
143,2004-08-18,43.04
144,2004-08-20,43.05
145,2004-08-22,43.06
146,2004-08-24,43.07
147,2004-08-26,43.08
148,2004-08-28,43.0
149,2004-08-30,43.0
150,2004-09-01,42.99
151,2004-09-03,43.02
152,2004-09-05,42.95
153,2004-09-07,42.94
154,2004-09-08,42.98
155,2004-09-10,42.95
156,2004-09-12,43.01
157,2004-09-14,43.04
158,2004-09-16,43.05
159,2004-09-18,43.06
160,2004-09-20,43.07
161,2004-09-22,43.08
162,2004-09-24,43.09
163,2004-09-26,43.09
164,2004-09-28,43.09
165,2004-09-30,43.1
166,2004-10-02,43.1
167,2004-10-04,43.11
168,2004-10-05,43.07
169,2004-10-06,43.11
170,2004-10-08,43.12
171,2004-10-10,43.11
172,2004-10-12,43.12
173,2004-10-14,43.12
174,2004-10-16,43.12
175,2004-10-18,43.12
176,2004-10-20,43.13
177,2004-10-22,43.13
178,2004-10-24,43.14
179,2004-10-26,43.14
180,2004-10-28,43.14
181,2004-10-30,43.14
182,2004-11-01,43.14
183,2004-11-03,43.08
184,2004-11-05,43.13
185,2004-11-07,43.14
186,2004-11-09,43.14
187,2004-11-11,43.14
188,2004-11-13,43.13
189,2004-11-15,43.14
190,2004-11-17,43.13
191,2004-11-19,43.14
192,2004-11-21,43.14
193,2004-11-23,43.13
194,2004-11-25,43.14
195,2004-11-27,43.13
196,2004-11-29,43.15
197,2004-12-01,43.14
198,2004-12-03,43.13
199,2004-12-05,43.13
200,2004-12-07,43.13
201,2004-12-09,43.13
202,2004-12-11,43.13
203,2004-12-13,43.13
204,2004-12-15,43.08
205,2004-12-16,43.13
206,2004-12-18,43.12
207,2004-12-20,43.12
208,2004-12-22,43.11
209,2004-12-24,43.11
210,2004-12-26,43.1
211,2004-12-28,43.1
212,2004-12-30,43.09
213,2005-01-01,43.08
214,2005-01-03,43.08
215,2005-01-05,43.07
216,2005-01-07,43.07
217,2005-01-09,43.07
218,2005-01-11,43.07
219,2005-01-12,43.07
220,2005-01-14,43.07
221,2005-01-16,43.07
222,2005-01-18,43.07
223,2005-01-20,43.06
224,2005-01-22,43.07
225,2005-01-24,43.06
226,2005-01-26,43.07
227,2005-01-28,43.07
228,2005-01-30,43.05
229,2005-02-01,43.06
230,2005-02-03,43.06
231,2005-02-05,43.06
232,2005-02-07,43.06
233,2005-02-08,43.07
234,2005-02-09,43.08
235,2005-02-10,43.09
236,2005-02-11,43.09
237,2005-02-12,43.1
238,2005-02-13,43.11
239,2005-02-14,43.11
240,2005-02-15,43.1
241,2005-02-16,43.1
242,2005-02-17,43.09
