date,value
1996-11-30,85.86
1998-04-22,86.56
1998-10-07,85.76
1998-10-14,85.86
1998-10-21,85.87
1998-10-28,85.94
1998-11-04,86.06
1998-11-11,86.14
1998-11-18,86.17
1998-11-25,86.07
1998-12-02,86.08
1998-12-09,86.02
1998-12-16,86.13
1998-12-18,86.09
1998-12-23,86.33
1998-12-30,86.24
1999-01-06,86.29
1999-01-13,86.23
1999-01-20,86.22
1999-01-27,86.31
1999-02-03,86.24
1999-02-10,86.54
1999-02-17,86.44
1999-02-24,86.53
1999-03-03,86.53
1999-03-10,86.52
1999-03-17,86.38
1999-03-24,86.32
1999-03-26,86.37
1999-03-31,86.31
1999-04-07,86.27
1999-04-14,86.27
1999-04-21,86.48
1999-04-28,86.46
1999-05-05,86.43
1999-05-12,86.39
1999-05-19,86.66
1999-05-26,86.51
1999-06-02,86.28
1999-06-09,86.33
1999-06-16,86.16
1999-06-23,86.07
1999-06-30,86.07
1999-07-07,86.01
1999-07-14,85.97
1999-07-21,85.88
1999-07-28,85.83
1999-08-04,85.86
1999-08-11,85.83
1999-08-18,85.81
1999-08-25,85.76
1999-09-01,85.7
1999-09-08,85.71
1999-09-15,85.77
1999-09-22,85.87
1999-09-29,85.91
1999-10-06,85.94
1999-10-13,85.89
1999-10-20,86.04
1999-10-27,85.96
1999-11-03,85.93
1999-11-10,85.93
1999-11-17,85.9
1999-11-24,85.98
1999-12-01,85.88
1999-12-08,85.86
1999-12-15,86.46
1999-12-16,86.4
1999-12-22,86.48
1999-12-29,86.72
2000-01-05,86.55
2000-01-12,86.45
2000-01-19,86.31
2000-01-26,86.24
2000-02-02,86.31
2000-02-09,86.38
2000-02-16,86.51
2000-02-23,86.53
2000-03-01,86.74
2000-03-08,86.52
2000-03-15,86.38
2000-03-17,86.34
2000-03-22,86.33
2000-03-29,86.39
2000-04-05,86.47
2000-04-12,86.45
2000-04-19,86.5
2000-04-26,86.71
2000-05-03,86.52
2000-05-10,86.87
2000-05-17,86.64
2000-05-24,86.42
